"Population estimates, July 1, by census subdivision, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0155-01"
"Release date: 2025-01-16"
"Geography: Canada, Province or territory, Census subdivision"
""
""

"Geography","2024"
,"Persons"
"Three Rivers (T), Prince Edward Island","9,206"
"Cornwall (T), Prince Edward Island","7,744"
"Census subdivisions with population under 5,000, Prince Edward Island","83,565"
"New Glasgow (FD), Prince Edward Island","5,458"
"West River (RM), Prince Edward Island","4,065"
"Kensington, Part 1 (FD), Prince Edward Island","3,278"
"O'Leary (FD), Prince Edward Island","2,708"
"Vernon River (FD), Prince Edward Island","2,851"
"North Shore (RM), Prince Edward Island","2,900"
"East River, Part 1 (FD), Prince Edward Island","2,540"
"Alberton (FD), Prince Edward Island","2,525"
"Crossroads (FD), Prince Edward Island","2,189"
"Kensington (T), Prince Edward Island","2,057"
"Wellington (FD), Prince Edward Island","1,971"
"Tignish (FD), Prince Edward Island","2,020"
"Souris (FD), Prince Edward Island","1,861"
"Belfast (RM), Prince Edward Island","1,989"
"Crapaud, Part 1 (FD), Prince Edward Island","1,697"
"New London (FD), Prince Edward Island","1,521"
"North Shore (FD), Prince Edward Island","1,688"
"Murray River, Part 1 (FD), Prince Edward Island","1,491"
"Alberton (T), Prince Edward Island","1,440"
"Kinkora (FD), Prince Edward Island","1,451"
"Malpeque Bay (RM), Prince Edward Island","1,352"
"Miltonvale Park (RM), Prince Edward Island","1,323"
"Morell (FD), Prince Edward Island","1,384"
"Central Prince (RM), Prince Edward Island","1,261"
"Kingston (RM), Prince Edward Island","1,256"
"Miminegash (FD), Prince Edward Island","1,180"
"Souris (T), Prince Edward Island","1,264"
"Miscouche (RM), Prince Edward Island","991"
"O'Leary (T), Prince Edward Island","984"
"Miscouche (FD), Prince Edward Island","955"
"Borden (FD), Prince Edward Island","941"
"Borden-Carleton (T), Prince Edward Island","893"
"Tignish (T), Prince Edward Island","835"
"St. Peters (FD), Prince Edward Island","768"
"Eastern Kings (RM), Prince Edward Island","775"
"Tyne Valley (FD), Prince Edward Island","683"
"North Rustico (T), Prince Edward Island","750"
"Murray Harbour (FD), Prince Edward Island","656"
"Lot 11 and Area (RM), Prince Edward Island","789"
"Clyde River (RM), Prince Edward Island","720"
"Brackley (RM), Prince Edward Island","689"
"East River, Part 2 (FD), Prince Edward Island","563"
"Kensington, Part 2 (FD), Prince Edward Island","590"
"Crapaud, Part 2 (FD), Prince Edward Island","622"
"Wellington (RM), Prince Edward Island","481"
"Hunter River (RM), Prince Edward Island","433"
"Kinkora (RM), Prince Edward Island","392"
"York (RM), Prince Edward Island","420"
"Central Kings (RM), Prince Edward Island","407"
"Souris West (RM), Prince Edward Island","402"
"Warren Grove (RM), Prince Edward Island","443"
"Johnstons River (FD), Prince Edward Island","429"
"Crapaud (RM), Prince Edward Island","392"
"Murray River, Part 2 (FD), Prince Edward Island","420"
"Stanley Bridge, Hope River, Bayview, Cavendish and North Rustico (RMU), Prince Edward Island","348"
"Hampshire (RM), Prince Edward Island","398"
"Winsloe North (FD), Prince Edward Island","395"
"Abram-Village (RM), Prince Edward Island","401"
"Murray River (RM), Prince Edward Island","376"
"North Rustico (FD), Prince Edward Island","444"
"Linkletter (RM), Prince Edward Island","331"
"St. Felix (RM), Prince Edward Island","354"
"Bedeque and Area (RM), Prince Edward Island","362"
"Lennox Island 1 (IRI), Prince Edward Island","348"
"Morell (RM), Prince Edward Island","335"
"Murray Harbour (RM), Prince Edward Island","313"
"Greenmount-Montrose (RM), Prince Edward Island","293"
"Alexandra (RM), Prince Edward Island","285"
"Scotchfort 4 (IRI), Prince Edward Island","271"
"St. Peters Bay (RM), Prince Edward Island","259"
"West Point (FD), Prince Edward Island","261"
"Tyne Valley (RM), Prince Edward Island","255"
"Mount Stewart (RM), Prince Edward Island","265"
"Annandale - Little Pond - Howe Bay (RM), Prince Edward Island","252"
"Hazelbrook (RM), Prince Edward Island","258"
"St. Nicholas (RM), Prince Edward Island","246"
"Union Road (RM), Prince Edward Island","248"
"Sherbrooke (RM), Prince Edward Island","201"
"North Wiltshire (RM), Prince Edward Island","207"
"Breadalbane (RM), Prince Edward Island","198"
"Northport (RM), Prince Edward Island","178"
"North River (FD), Prince Edward Island","184"
"Miminegash (RM), Prince Edward Island","166"
"Victoria (RM), Prince Edward Island","161"
"Central Kings (FD), Prince Edward Island","152"
"Cardigan (FD), Prince Edward Island","141"
"Darlington (RM), Prince Edward Island","118"
"Victoria (FD), Prince Edward Island","97"
"Montague (FD), Prince Edward Island","89"
"St. Louis (RM), Prince Edward Island","77"
"Tignish Shore (RM), Prince Edward Island","72"
"Rocky Point 3 (IRI), Prince Edward Island","55"
"Morell 2 (IRI), Prince Edward Island","28"
"Nova Scotia","1,076,374"
"Census subdivisions with 5,000-plus population, Nova Scotia","967,972"
"Halifax (RGM), Nova Scotia","502,753"
"Cape Breton (RGM), Nova Scotia","107,391"
"Lunenburg (MD), Nova Scotia","26,805"
"East Hants (MD), Nova Scotia","26,370"
"Kings, Subd. A (SC), Nova Scotia","24,119"
"Colchester, Subd. B (SC), Nova Scotia","21,208"
"West Hants (RM), Nova Scotia","20,177"
"Colchester, Subd. C (SC), Nova Scotia","13,996"
"Truro (T), Nova Scotia","14,197"
"Kings, Subd. B (SC), Nova Scotia","12,694"
"Chester (MD), Nova Scotia","11,848"
"Queens (RGM), Nova Scotia","10,866"
"Yarmouth (MD), Nova Scotia","10,996"
"New Glasgow (T), Nova Scotia","10,234"
"Amherst (T), Nova Scotia","10,033"
"Antigonish, Subd. A (SC), Nova Scotia","9,713"
